RANKING,MOVIE,DISTRIBUTOR,RELEASE YEAR,GROSS (USD in millions),ADJUSTED GROSS (USD in Millions)
166,Rush Hour 2,New Line,2001,226.16,317.83
167,Mission: Impossible II,Paramount,2000,215.41,317.32
168,Apollo 13,Universal,1995,173.84,316.50
169,Patton,Fox,1970,61.75,316.32
170,Iron Man 2,Paramount,2010,312.13,314.11
171,The Twilight Saga: New Moon,Summit,2009,296.64,314.04
172,Liar Liar,Universal,1997,181.41,313.81
173,2001: A Space Odyssey,MGM,1968,56.95,312.55
174,Robin Hood: Prince of Thieves,Warner Bros.,1991,165.49,312.12
175,Signs,Disney,2002,227.97,312.08
176,Beverly Hills Cop II,Paramount,1987,153.67,312.05
177,Batman Returns,Warner Bros.,1992,162.83,311.54
178,Up,Disney,2009,293.00,310.19
179,Superman II,Warner Bros.,1981,108.19,308.99
180,"What's Up,Doc?",Warner Bros.,1972,66.00,308.26
181,The Caine Mutiny,Columbia,1954,19.00,307.88
182,9 to 5,Fox,1980,103.29,304.88
183,Night at the Museum,Fox,2006,250.86,304.10
184,The Firm,Paramount,1993,158.37,303.73
185,Skyfall,Sony / Columbia,2012,304.36,303.60
186,The Twilight Saga: Eclipse,Summit,2010,300.53,302.44
187,The Hobbit: An Unexpected Journey  /,New Line,2012,303.00,302.24
188,Porky's,Fox,1982,111.29,299.51
189,Air Force One,Sony / Columbia,1997,172.96,299.19
190,Stir Crazy,Columbia,1980,101.30,299.00
191,There's Something About Mary,Fox,1998,176.49,298.79
192,A Star Is Born,Warner Bros.,1976,80.00,298.22
193,Harry Potter and the Deathly Hallows: Part 1,Warner Bros.,2010,295.98,297.86
194,Peyton Place,Fox,1957,24.00,297.75
195,Who Framed Roger Rabbit,Disney,1988,154.11,297.73
196,I Am Legend,Warner Bros.,2007,256.39,295.90
197,Cars,Disney,2006,244.08,295.88
198,Inception,Warner Bros.,2010,292.58,294.43
199,The Hangover,Warner Bros.,2009,277.32,293.59
200,The Jolson Story,Columbia,1946,17.00,293.44
201,Lethal Weapon 2,Warner Bros.,1989,147.31,293.14
202,The Dirty Dozen,MGM,1967,45.00,292.87
203,The Goodbye Girl,Warner Bros.,1977,82.00,291.96
204,Austin Powers in Goldmember,New Line,2002,213.24,291.92
205,The Twilight Saga: Breaking Dawn - Part 2,Lionsgate / Summit,2012,292.32,291.59
206,Going My Way,Paramount,1944,15.00,290.49
207,War of the Worlds,Paramount,2005,234.28,290.20
208,Every Which Way But Loose,Warner Bros.,1978,85.20,289.09
209,Swiss Family Robinson,Disney,1960,40.36,288.80
210,Valley of the Dolls,Fox,1967,44.00,286.36
211,Rocky IV,MGM/UA,1985,127.87,286.00
212,The Carpetbaggers,Paramount,1964,34.00,284.86
213,True Lies,Fox,1994,146.28,284.68
214,X-Men: The Last Stand,Fox,2006,234.36,284.10
215,The Mummy Returns,Universal,2001,202.02,283.90
216,X2: X-Men United,Fox,2003,214.95,283.04
217,The Santa Clause,Disney,1994,144.83,281.86
218,The Guns of Navarone,Columbia,1961,28.00,281.84
219,Psycho,Universal,1960,28.00,281.67
220,The Twilight Saga: Breaking Dawn - Part 1,Lionsgate / Summit,2011,281.29,281.57
221,Platoon,Orion,1986,138.53,281.48
222,Pearl Harbor,Disney,2001,198.54,279.01
223,Look Who's Talking,TriStar,1989,140.09,278.77
224,The Amityville Horror,AIP,1979,86.43,277.84
225,Heaven Can Wait,Paramount,1978,81.64,277.02
226,Lethal Weapon 3,Warner Bros.,1992,144.73,276.91
227,Jerry Maguire,Sony / TriStar,1996,153.96,276.58
228,Gladiator,DreamWorks,2000,187.71,276.43
229,You Only Live Twice,United Artists,1967,43.08,276.13
230,Jaws 2,Universal,1978,81.77,275.67
231,A Bug's Life,Disney,1998,162.80,275.61
232,Rocky II,United Artists,1979,85.18,273.82
233,The Waterboy,Disney,1998,161.49,273.40
234,"To Sir,with Love",Columbia,1967,42.00,273.34
235,Terms of Endearment,Paramount,1983,108.42,273.30
236,Sayonara,Warner Bros.,1957,22.00,272.94
237,Star Trek,Paramount,2009,257.73,272.85
238,Arthur,Orion,1981,95.46,272.65
239,Shane,Paramount,1953,20.00,272.64
